id,name,description,manufacturer,price
http://www.google.com/base/feeds/snippets/17467141222535233488,intuit inc quicken home inventory manager,quicken home inventory manger makes it easy to prepare for any eventuality by keeping an accurate inventory of your belongings. system requirements: windows 2000/2003/xp/vista ibm or compatible pentium 200(pentium ii 300 reco,,29.78
http://www.google.com/base/feeds/snippets/18251424810598585817,csdc liquid ledger personal finance - modeless software,personal finance software for max os x. liquid ledger is a personal accounting solution that can help you analyse monthly spending and find cash you never knew you had. it offers a comprehensive set of accounting tools to help you track banking and ...,,71.01
http://www.google.com/base/feeds/snippets/18259447335875519213,orion/imaginova starry night galaxy explorer,pilot a starship through intergalactic space blast off earth and fly to over 28000 galaxies. learn detailed information through the skyguide as you explore the 3-d universe. even examine the structure of the universe from up to 700 million light y,,8.8
http://www.google.com/base/feeds/snippets/4025192676992669735,punch software 86100 - prof home design platinum v10 sb - win 98 me nt 2000 xp,punch software 86100 : punch! professional home design suite platinum? is a special two-for-one package loaded with incredible capabilities. you get all of the features of both industry-acclaimed punch! master landscape & home design? and punch! ...,,84.97
http://www.google.com/base/feeds/snippets/17165389585205797735,micromat inc. diskstudio,how often have you wished that you could change the partitioning scheme of your hard drive but not wanted to go through the trouble of completely erasing and reinitializing your hard drive to do so? now using diskstudio you are able to do this ...,,43.36
http://www.google.com/base/feeds/snippets/18053348848713858697,allume internet cleanup 4.0,requires mac os x 10.4 or later...,,29.99
http://www.google.com/base/feeds/snippets/10073523251870401694,global software a1826m2w - dk amazing animals 1.1 - win 95 98 2000 xp vista,global software a1826m2w : meet your cd host henry a delightful 3-d animated lizard who will lead you through the wonderful world of the animal kingdom! the amazing animal expert notebook is packed with photos maps sounds and amazing animal facts ...,,9.08
http://www.google.com/base/feeds/snippets/2284241765475162173,civilization iv warlords expansion for mac,requires the full version of civilization iv for mac os x to play minimum system requirements operating system: mac os x 10.3.9 or later cpu processor: powerpc g5 or intel cpu speed: 1.8 ghz or faster memory: 512 mb or higher hard disk space: 3.5 gb ...,,29.99
http://www.google.com/base/feeds/snippets/13078719460791292222,microsoft money 2007 home and business (pc),key features: create invoices process payroll free bonus services...,,89.99
http://www.google.com/base/feeds/snippets/11023384475486845617,punch software 20100 punch! 5 in 1 home design,total interior and exterior home design with realistic high-resolution 3d graphics! 20100 punch software,punch software,35.99
http://www.google.com/base/feeds/snippets/18046511712294457433,emedia music corp emedia guitar basics,a fun way to learn acoustic or electric guitar at your own pace. songs and exercises are accompanied by full-motion videos. the easiest way to get started! over 20 songs over 40 lessons automatic tuner animated fretboard 20-chord dictionary ...,,16.64
