id,title,description,manufacturer,price
b0008glghc,apple garageband jam pack: remix tools,with apple's garageband jam pack: remix tools you can create your own club grooves. this complete set of beats bass lines synth hooks and keyboard riffs is perfect for creating the sounds that get butts shaking on the dance floor. whether you're into hip-hop or house r&b or trance jam pack: remix tools gives you everything you need to create songs that make people move.,apple,99
b000btac30,enteractive fps creator ( windows ),with fps creator you can create your own shooter game with pixel-perfect precision. create your game instantly with the intuitive 3d editor -- drag and drop walls lights doors enemies ammo weapons and more. when you've got things placed where you want them you can drop in weapons enemies objectives trigger zones customise the loading screens create your own ai scripts and everything else that makes a great shooter game. once you're done you can play your game with a click!,enteractive inc.,0
b000o8g7z0,riverdeep spongebob squarepants typing fun,spongebob squarepants typing fun lets kids dive right into typing instruction! all your favorite spongebob squarepants characters are waiting in these fun typing games. they're ready to engage and motivate youngsters as they learn to type. spongebob squarepants typing fun reinforces spelling and literacy skills and prepares pupils for further learning. watch your kids become more productive and work more comfortably learning with spongebob patrick mr. krabs and the entire cast.,riverdeep,0
b000afkxso,finale 2006 (pc & mac),finale 2006 provides you with robust tools unlimited options and total control. with more power and speed than ever before finale offers endless possibilities for composing arranging hearing and printing your music. the original groundbreaking notation software introduces new features that nurture and fuel creativity. finale 2006 includes revolutionary tools for teaching students how to create evaluate and shape ideas into songs arrangements and compositions. band-in-a-box auto harmonizing with rhythm section generator & instant drum grooves smart hyphens engraver slurs & note spacing tools automatic expression placement lyric placement & word extensions share your music online with finale showcase & finale notepad import or embed graphics into your sheet music easy pickin's with the tablature/fretboard tools,emedia,600
b000pg8kwe,marine aquarium & goldfish screen saver by encore software,view marine life so vibrant you won't believe your eyes! gorgeous details have gone into creating the high-resolution fish models and reef tank for an indescribably realistic effect. achieve serenity from an exquisite marine habitat without the expense or maintenance of the real thing. so peaceful. so mesmerizing. with 26 exotic species of fish it's like having your very own aquatic paradise through your pc or mac. watch your 3d fish turn and swim just like real fish. enhance your aquarium with adjustable lighting bubble and sound effects. enjoy your fish in silhouette or in wire-frame mode. new marine fish enhance this version of the top-selling screensaver marine aquarium. plus included as an added bonus--the new goldfish aquarium 2.0. these two distinctive screensavers redefine ultimate-realism.,encore software,0
b000gw55es,the sims 2: open for business expansion pack,in sims 2: open for business you'll get to design your own clothing boutique beauty salon florist high-end electronics shop bustling restaurant chain or virtually any other type of business. hire your staff as the business grows and put talented sims to work making toys running the register crafting floral bouquets giving sales pitches or manufacturing robots. but watch out for slacker employees and be prepared to fire them on the spot. will you build a thriving business empire or become an eccentric entrepreneurs designing the next big thing? create a thriving business selling just about anything from clothing electronics and toys to flowers baked goods robots and more expansion pack - requires use with aya sims2,aspyr media,34.99
b000fvqo0o,punch! professional home design platinum v10,punch! professional home design suite platinum is a special two-for-one package loaded with incredible capabilities. this updated home and landscape design software allows you the flexibility to integrate punch! powertools and much much more! version 10 gives you the power change your room colors with just one click! use accessories to easily add art and window treatments. also includes dormer & skylight tools supports fractions and now imports 3ds files. room wizard helps you get started fast -- just input your room dimensions and the rooms are created for you. keep your designs up-to-date with brand name content and punch! updater. your deck and landscaping designs come to life with photo-realistic 3d - complete with shadows - giving you a stunning true-to-life representation of your home design,punch! software,99
b0000c4m1w,emedia piano and keyboard method volume 1,piano and keyboard method is a powerful and original new approach to building music skills! interactive lessons and multimedia exercises combine for a clear and easy-to-use learning method!,emedia,59.99
b000gbukgm,computrace lojack for laptops - 1 year license (mac),computrace lojack for laptops is a theft protection service that tracks locates and recovers stolen laptop and desktop computers. your laptop has a 1 in 10 chance of being stolen -- with lojack for laptops you can buy peace of mind. the software works behind the scenes to silently and securely contact our monitoring center. if your laptop is stolen its location is reported through any internet connection. the recovery team tracks your computer's location and partners with local law enforcement to get your computer back. if your stolen computer is not recovered in 30 days you'll receive a full refund for the purchase price of the software.,absolute software,49.95
b000ap2wyw,kids power fun for girls,,topics entertainment,19.99
b00004ochj,punch! ultimate deck and landscape,ultimate deck & landscape integrates landscaping deck design and exterior home design. estimator and deck wizards aid in creating your ideal outdoor living space. get 3-d photorealistic fly-throughs drag-and-drop textures and landscaping--all with a single interface.use the software to see how your home exterior will integrate with your deck and landscape design. add stone siding or paint color to match your current home or view changes as a remodeling part of your project. when you're ready to landscape your home design just add your plantings to your existing file. the software lets you landscape without redrawing your house plan. your results are rendered in high-resolution 3-d complete with shadows just like a photograph.design the perfect deck for your home plan with ultimate deck. multilevel or multistory decks with 3-d photorealistic textures stairs railings object placement and color capabilities give you the ability to design exactly the deck you want. deck wizards walk you through railings baluster options and more. the deck & landscape estimator compiles building material and landscape planting information in a custom spreadsheet report as you draw. the editable and exportable spreadsheet is available right from the program. just add in costs and you'll have an accurate report of your expenses.,punch! software,29
b000i2jd0s,equilibrium debabelizer pro 6.0 - 1 user,debabelizer pro 6 provides you with the image editing tools for better image processing. its optimization tools provide full palette control and image optimization for single and multi-frame images for individual images or batches. convert over 100 different file formats including many hard to find legacy formats. the automated workflow tools make it easier than ever to manage and control your media. enhanced gif and jpeg compression powerful conditional scripting cmyk support,equilibrium,599.99
b000ek6ekq,buzby breakin' all the rules hermie and friends,join hermie wormie and their friends in an interactive adventure based on the hit video buzby the misbehaving bee. through game play and video clips children see what happens when everyone wants their own way and learn the value of following the rules.in a series of 5 age-appropriate activities children will help lucy match pairs of flowers load the ferris wheel with just the right type of bugs add up their scores in a living bowling alley sort bug cuisine from iggy and ziggy's roach coach and spell words in buzby's honeycomb. they'll also collect seeds for their own art garden where they can color scenes in 3-d!ages: 3-6,digital praise,19.99
b000o24l3q,adobe premiere pro cs3 upgrade,note: this is the upgrade version of adobe premiere pro cs3. tell your story with maximum impact using adobe premiere pro cs3 upgrade software the start-to-finish solution for efficient video production that now includes adobe encore cs3 and adobe onlocation cs3* (windows only) formerly the award-winning dv rack hd. save time from on-set capture using adobe onlocation through to output expand your creative options via integration with adobe after effects cs3 professional and photoshop and deliver your content to dvd blu-ray disc the web and mobile devices. the powerful editing finishing and delivery tools in adobe premiere pro are now available on both mac and windows operating systems. maintain control of your media with multiple project panels customizable panel display settings and instant file searches. export adobe encore cs3 projects as dvd blu-ray disc or flash. when you export as flash encore generates html flv and swf files that provide dvd-style chapter selection playback and interactivity through the flash player. capture edit and deliver to video dvd and the web adobe premiere pro cs3 software available for both mac and windows streamlines the entire video production process from direct-to-disk recording through editing to final delivery for tape disc the web and mobile devices. adobe premiere pro cs3 redefines productivity and flexibility for capturing editing and delivering video content. video professionals want to concentrate on storytelling--not on the nuts and bolts of production--and adobe premiere pro cs3 frees you to focus on telling your story. maximize image quality and work faster during shoots by using adobe onlocation cs3 software (requires windows and boot camp for mac ) included with adobe premiere pro to calibrate cameras monitor video signals and record directly to disk--all during the shoot. edit every major video format from dv to hd and beyond with adobe premiere pro cs3. improve efficiency and creativity with new workflow and new visual effects features. save time and expand creative options through tight integration with other adobe software including adobe after effects cs3 and adobe photoshop cs3. adobe encore cs3 software now included with adobe premiere pro cs3 lets you author once and then output to blu-ray disc dvd and flash swf for the web. adobe premiere pro supports additional delivery platforms including flash and mobile devices letting you reach the widest audience possible. audience benefit corporate and government video producers--adobe premiere pro cs3 provides the tools you need to ensure excellent production values while working quickly to stay on schedule. edit with precise control add stunning effects and move content smoothly to adobe after effects cs3 professional and photoshop for even more creative control. streamline the review process with adobe clip notes and output to multiple formats quickly and easily to reach more people everywhere. adobe premiere pro cs3 lets you communicate with high-quality video and imagery even with tight budgets and looming deadlines. event videographers--small crews and tight deadlines mean you need to work fast even while clients demand higher and higher production values. adobe premiere pro cs3 lets you capture events directly to disc with included adobe onlocation cs3* (windows only); work fast with precision editing tools including support for editing multicam shots; create compelling effects via tight integration with adobe after effects cs3 professional and photoshop cs3; and use the included copy of adobe encore cs3 to deliver content however your clients need it whether on dvd blu-ray disc the web or mobile devices. independent filmmakers--your passion is storytelling. your challenge is finding the right software to handle every aspect of the production process and deliver hollywood-quality imagery. adobe premiere pro cs3 meets this need with a complete toolset for capturing footage direct-to-disc editing imagery and creating titles in post-production producing dvds and delivering web-ready content to promote your films on the internet. and with the included video workshop and training materials you'll have help through every stage of production. post-production boutiques--enjoy advanced editing tools as well as the uncompromised image quality and real-time performance you need in professional broadcast and film post-production. work with all major formats enjoy powerful effects and media management tools get unparalleled integration with adobe after effects cs3 professional and photoshop software and increase efficiency with workflow enhancements such as adobe clip notes. with adobe premiere pro cs3 and adobe encore cs3 you can deliver your work in the format your client needs from adobe flash video through dvd and blu-ray disc to uncompressed hd. educators and students--adobe premiere pro cs3 offers a complete set of post-production tools that let you handle all aspects of filmmaking and post-production cost effectively from capturing and editing footage to creating titles dvds and promotional materials such as websites that feature video content. use flexible tools to express your creativity work with any file format on both windows and macintosh platforms and deliver your work across multiple media. what's new in adobe premiere pro cs3k dvd and blu-ray disc output with included adobe encore cs3 create dvd and blu-ray disc content with adobe encore cs3 software now included with adobe premiere pro cs3. work with the same encore authoring interface and features used to create standard-definition dvds. author once deliver twice: automatically convert your high-definition blu-ray disc projects to standard-definition dvds. high-quality slow motion with time remapping create dramatic slow- and fast-motion effects without exporting clips to another application. with precise keyframe control real-time feedback and excellent quality from advanced frame blending you can slow things down without compromising quality. or generate even better in-between frames through pixel-motion analysis with the timewarp effect. direct-to-disc recording with included adobe onlocation cs3* (windows only) save tape and time by eliminating capture from your production process. record sd and hd video directly to disc using adobe onlocation cs3 software included with adobe premiere pro cs3. instantly review each shot without shuttling tape. adobe onlocation automatically detects and flags problems to provide the best results. adobe encore cs3 projects for the web with one click easily create adobe flash versions of your dvd and blu-ray disc projects for the web. use adobe encore cs3 to create flash content complete with dvd interactivity and menus without learning flash programming. multiple project windows with smart file search find files faster with search tools that instantly update their results list as you type. sort and organize assets into multiple project windows each with its own graphical or text view setting. display and handle media files making project management easier and more efficient. professional on-set monitoring with adobe onlocation cs3 maximize camera image quality during shoots by using adobe onlocation cs3 to quickly calibrate your camera check levels and monitor your signal. use simple tools that function like their hardware equivalents to get results quickly and easily. the virtual reference monitor waveform monitor vectorscope and audio spectrum analyzer help you avoid problems and improve quality on location. create stunning slow-motion and other retiming effects directly in the timeline by setting and moving time remapping keyframe markers. improve the look of your video with the three-way color corrector and the other precision color-correction tools in adobe premiere pro. improved editing efficiency work faster with powerful and flexible editing tools. play video with nested audio sequences in real time without rendering. replace any clip in the timeline with a new clip while preserving the replaced clip's editing attributes and settings. use shortcuts to switch between workspace panels and save time. output for mobile devices make your video viewable on the latest delivery platforms. encode video for delivery to cell phones and other mobile devices and simulate playback on those devices to check video quality. download profile updates to simulate the latest devices. flash video export with markers converted to cue points encode video and audio for flash projects and web playback with direct flash video (flv) export. adobe premiere pro cs3 timeline markers become flash cue points that trigger interactivity and navigation. create flash video with ease. improve efficiency and incorporate a tapeless workflow during shoots by using adobe onlocation cs3* to monitor your camera's video signal and record it directly to a computer hard drive. the multi-camera window makes editing action recorded with several cameras or in multiple takes as easy as pointing and clicking. additional features efficient tools for creative editing create high-quality visual and editorial effects directly within the editing timeline. generate slow motion and other time-remapping effects with precise keyframe control and real-time feedback. add color correction lighting and other effects audio filters and more with fast flexible and built-in tools. edit footage from multicam shoots with ease and precision. comprehensive video format compatibility work with the formats you want. edit all standard- or high-definition formats from dv through hdv to hd and beyond (some formats may require additional hardware). broad range of supporting hardware and software for mac and windows choose from a wide range of mac and windows workstations and capture cards to build the editing system that exactly meets your needs and budget. enhance your system with additional plug-ins including many from adobe after effects software. dvd and blu-ray disc output with included adobe encore cs3 create dvd and blu-ray disc content with adobe encore cs3 software now included with adobe premiere pro cs3. work with the same encore authoring interface and features used to create standard-definition dvds. author once deliver twice: automatically convert your high-definition blu-ray disc projects to standard-definition dvds. superior integration with other adobe applications make the leading still and motion graphics applications adobe photoshop and after effects part of an efficient post-production workflow. import and animate photoshop layers. automatically create photoshop files that match the current project's frame size and aspect ratio. drag and drop or copy and paste clips and timelines between adobe premiere pro cs3 and after effects cs3 professional. direct-to-disc recording with included adobe onlocation cs3* (windows only) save tape and time by eliminating capture from your production process. record sd and hd video directly to disc using adobe onlocation cs3 software included with adobe premiere pro cs3. instantly review each shot without shuttling tape. adobe onlocation automatically detects and flags problems to provide the best results. professional on-set monitoring with adobe onlocation cs3 maximize camera image quality during shoots by using adobe onlocation cs3 to quickly calibrate your camera check levels and monitor your signal. use simple tools that function like their hardware equivalents to get results quickly and easily. the virtual reference monitor waveform monitor vectorscope and audio spectrum analyzer help you avoid problems and improve quality on location. delivery to the web and mobile devices make your video viewable on today's and tomorrow's delivery platforms. export as adobe flash video (flv). easily convert dvd projects complete with menus to flash swf files for web playback. encode for delivery to cell phones and other mobile devices and emulate playback on those devices to check playback quality. accelerated client review and approval with adobe clip notes expedite review cycles and avoid miscommunication with adobe clip notes. embed video into an adobe pdf file e-mail the file to your client to review and add timecode-specific comments and then view comments mapped to the adobe premiere pro cs3 timeline. multicam editing view multiple video tracks from a multiple-camera shoot easily sync via timecode and edit by switching between tracks in real time. rerecord sections of your edit make fine adjustments using all the standard timeline editing tools and easily adjust color correction across multiple shots even after editing. accelerated client review and approval with adobe clip notes expedite review cycles and avoid miscommunication with adobe clip notes. embed video into an adobe pdf file e-mail the file to your client to review and add timecode-specific comments and then view comments mapped to the adobe premiere pro cs3 timeline. mac os x compatibility use adobe premiere pro cs3 on the latest intel based macintosh computers. aaf and edl import/export exchange project metadata with major video film and audio applications via industry-standard advanced authoring format (aaf) aaf with edit protocol and edit decision list (edl) files (aaf import/export for windows only). comprehensive vtr support control video decks through rs-422 and rs-232 serial protocols or firewire for precise batch capturing recapturing and insert editing. file management with adobe bridge work more efficiently by using adobe bridge cs3 to search for and access your project files preview and apply settings run batch processes and tag assets with xmp metadata. * for macintosh users adobe onlocation requires boot camp and windows (purchased separately) or a separate windows based computer.,adobe,299
b000nkpf7u,spongebob squarepants typing 2008 win/mac,spongebob squarepants typing 2008 is educational and fun for kids ages 7 and up. kids will get to play with spongebob and his friends while improving their typing skills. as typing skills grow kids also pick up nifty facts about undersea life and nautical nonsense!,encore software,19.95
b000kbszns,family tree maker version 16 collectors edition,with family tree maker version 16 (collector's edition) you can access more than 5 billion records through ancestry.com as you research your family's history. the best-selling genealogy program for 15 straight years family tree maker lets you access some of the world's largest online data based including the u.s. records collection naturalization records immigration records and much more,encore software,0
b000hkgj8k,autocad 2007 courseware customizing the interface,autocad 2007 courseware customizing the interface,autodesk psg,47.95
b000i3g30k,money home & business 2007 win32 eng na mini box us only cd,model- ms-cd19383wi vendor- microsoft corporation features- microsoft money home and business 2007- cd mini box microsoft money 2007 home and business makes managing business and personal finances fast easy and automatic with precise tools that guide you through business taxes inventory tracking and online payroll alongside your personal credit debt investment and taxes so you can spend less time on finances and more time with customers. * includes everything in money 2007 deluxe and money 2007 premium - make online banking even easier with all of your accounts--checking savings investments and credit -- in one place with one password which makes keeping tabs on the day-to-day spending a breeze. plus money connects to thousands of banks and updates automatically helping you easily stay on top of your finances. - improve your investment strategy with access to tips guidance and relevant articles from the highly regarded experts on msn money. - new! savings and spending budget helps you plan for retirement savings and debt repayment as well as your monthly expenses. its the comprehensive budget solution that helps you see your savings grow and your debt shrink. - new! spending tracker allows you to track your spending by budget groups. view alongside the popular spending by category tracker for amazing awareness of your spending. - help protect and improve your credit reduce high-interest debt and learn more about your credit rating. - forecast your cash flow to predict how much money youll have in your day-to-day accounts in the coming months. - simplify tax time. money makes preparing and filing taxes easy with expert tips from t,microsoft,139.43
b000exw51k,registry mechanic 5.x pc system repair,with registry mechanic you can safely clean repair and optimize the windows registry with a few simple mouse clicks! problems with the windows registry are a common cause of windows crashes slow performance and error messages. with this registry cleaner your system will not only be more stable but it will also help improve your system performance without expensive hardware upgrades. it uses high-performance detection algorithm to quickly identify missing and invalid references in your windows registry. with a few easy steps registry mechanic will scan your entire registry for any invalid entries and provides a list or errors you can selectively remove.,pc tools,29.95
b000kmaa8a,visual thesaurus the - thinkmap inc.,thinkmap's visual thesaurus is a new type of interactive dictionary and thesaurus. it's sure to help anyone from a young student to an experienced professional improve their vocabulary while having a good time. you'll write more descriptively and find the right word while gaining a more precise understanding of the english language. ace the sats spice up your powerpoint name your company and more. with over 145 000 words and 115 000 meanings the visual thesaurus helps you find words through their semantic relationships. hear correct word pronunciations both british and american,csdc,39.95
